Scraped At,Product Name,Selling Price,Original Price,Discount (shown),Discount % (calculated),Rating,Reviews,Product URL,Page
2026-02-26 09:54:21,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers,0.574,0.1399,59% Off,-310.29,,(40),https://www.snapdeal.com/product/kundan-suz-gwalior-multi-cotton/647528338414,1
2026-02-26 09:54:21,Makhanchor Grey Linen Men's Unstitched Shirt Piece ( Pack of 1 ),0.404,0.1199,66% Off,-236.95,,,https://www.snapdeal.com/product/makhanchor-grey-linen-mens-unstitched/657339509014,1
2026-02-26 09:54:21,Makhanchor White Linen Blended Unstitched Shirt pc Single,0.404,0.1199,66% Off,-236.95,,(6),https://www.snapdeal.com/product/makhanchor-white-linen-blended-unstitched/625662407932,1
2026-02-26 09:54:22,KUNDAN SULZ GWALIOR Blue Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(91),https://www.snapdeal.com/product/kundan-sulz-gwalior-blue-cotton/624034954083,1
2026-02-26 09:54:22,Raymond Black Polyester Men's Unstitched Pant Piece ( Pack of 1 ),0.608,0.1199,49% Off,-407.09,,(6),https://www.snapdeal.com/product/raymond-black-polyester-blend-mens/677922643274,1
2026-02-26 09:54:22,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 2 Pieces ( 1 Pant & 1 Shirt Piece ),0.52,0.1199,57% Off,-333.69,,(9),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/631482790701,1
2026-02-26 09:54:22,Gwalior Suitings Navy BluePoly Blend Unstitched Pant Pc,0.281,0.699,60% Off,59.8,,(23),https://www.snapdeal.com/product/gwalior-suitings-gray-poly-blend/1139162378,1
2026-02-26 09:54:23,KUNDAN SULZ GWALIOR Purple Cotton Blend Unstitched Shirts & Trousers ( 1 Pant & 1 Shirt Piece ),0.505,0.1199,58% Off,-321.18,,(19),https://www.snapdeal.com/product/kundan-sulz-gwalior-purple-cotton/646101173658,1
2026-02-26 09:54:23,Gwalior Solid Brown Trouser Fabric,0.316,0.699,55% Off,54.79,,(73),https://www.snapdeal.com/product/gwalior-solid-brown-trouser-fabric/821484638,1
2026-02-26 09:54:23,Maharaja - Blue Linen Men's Unstitched Shirts & Trousers ( Pack of 1 ),0.679,0.25,73% Off,-171.6,,(22),https://www.snapdeal.com/product/maharaja-blue-linen-unstiched-kurta/683692839868,1
2026-02-26 09:54:23,KUNDAN SULZ GWALIOR Maroon Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.699,53% Off,53.22,,(93),https://www.snapdeal.com/product/kundan-sulz-gwalior-maroon-cotton/677739305714,1
2026-02-26 09:54:23,JOHN STELLAR Multi Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.494,0.999,51% Off,50.55,,(3),https://www.snapdeal.com/product/john-stellar-multi-cotton-blend/644316963918,1
